RecordID,lpep_pickup_date,lpep_dropoff_date
7447,2023-02-04,2023-02-04
53973,2023-02-25,2023-02-25
48032,2023-02-23,2023-02-23
6381,2023-02-03,2023-02-03
10062,2023-02-05,2023-02-05
10777,2023-02-06,2023-02-06
22148,2023-02-10,2023-02-10
27187,2023-02-13,2023-02-13
64107,2023-02-24,2023-02-24
35325,2023-02-17,2023-02-17
16458,2023-02-08,2023-02-08
57183,2023-02-27,2023-02-27
23070,2023-02-11,2023-02-11
59441,2023-02-28,2023-02-28
23195,2023-02-11,2023-02-11
62929,2023-02-17,2023-02-17
33268,2023-02-16,2023-02-16
48476,2023-02-23,2023-02-23
57859,2023-02-27,2023-02-27
34060,2023-02-16,2023-02-16
52710,2023-02-25,2023-02-25
